length,weight,w_l_ratio,Cluster
-0.9450263048217137,-0.27071396031380723,0.5536569924240944,4
-1.47577486634167,-0.4454010818747923,1.7769434182463124,2
-1.267721430225847,-0.26100912022708606,1.2876288479174252,2
-1.3823631195141577,-0.3580575210943,1.5322861330818691,2
-0.9209657033661423,-0.3386478409208572,0.4721045640359465,4
-1.1304344689793517,-0.43569624178807115,0.7983142775885379,2
-1.1205271624976458,-0.387172041354464,0.7983142775885379,2
-1.3328265871056284,-0.5812688430888918,1.1245239911411298,2
-1.4658675598599642,-0.5521543228287275,1.613838561470017,2
-1.2620601122363009,-0.45510592196151395,1.1245239911411298,2
-1.3172579626343766,-0.3192381607474144,1.369181276305573,2
-1.0002241552197892,-0.5521543228287275,0.4721045640359465,2
-1.2606447827389144,-0.387172041354464,1.1245239911411298,2
-1.4630369008651911,-0.5133349624818418,1.695390989858165,2
-1.3979317439854095,-0.4648107620482351,1.5322861330818691,2
-1.1219424919950325,-0.5036301223951207,0.7167618492003903,2
-1.5139887627711068,-0.5133349624818418,1.8584958466344605,2
-1.2974433496709648,-0.41628656161462835,1.2060764195292777,2
-1.2012009438486793,-0.6394978836092202,0.7983142775885379,2
-1.3455645525821074,-0.5521543228287275,1.2060764195292777,2
-1.0115467911988816,-0.4745156021349563,0.5536569924240944,2
-1.1502490819427633,-0.3580575210943,0.8798667059766858,2
-1.5097427742789473,-0.4065817215279067,2.0216007034107566,2
-1.2861207136918722,-0.39687688144118555,1.2060764195292777,2
-1.4333149814200734,-0.3192381607474144,1.7769434182463124,2
-1.1063738675237804,-0.48422044222167787,0.7167618492003903,2
-1.444637617399166,-0.5133349624818418,1.613838561470017,2
-1.1842169898800405,-0.4648107620482351,0.8798667059766858,2
-1.4998354677972414,-0.6006785232623346,1.695390989858165,2
-1.3866091080063174,-0.5036301223951207,1.4507337046937212,2
-0.9237963623609153,-0.45510592196151395,0.3905521356477985,4
-0.9591795997955791,-0.30953332066069283,0.5536569924240944,4
-1.3951010849906367,-0.6006785232623346,1.369181276305573,2
-1.2167695683199313,-0.3483526810075784,1.1245239911411298,2
-1.2111082503303852,-0.4745156021349563,0.9614191343648338,2
-1.4403916289070062,-0.24159944005364328,1.9400482750226085,2
-1.113450515010713,-0.27071396031380723,0.8798667059766858,2
-1.4488836058913257,-0.45510592196151395,1.695390989858165,2
-1.4304843224253003,-0.4065817215279067,1.695390989858165,2
-1.3384879050951748,-0.41628656161462835,1.369181276305573,2
-1.277628736707553,-0.3677623611810212,1.2060764195292777,2
-1.4234076749383675,-0.5133349624818418,1.5322861330818691,2
-1.3894397670010905,-0.561859162915449,1.369181276305573,2
-1.4800208548338298,-0.4259914017013495,1.8584958466344605,2
-1.249322146759822,-0.24159944005364328,1.2876288479174252,2
-1.1502490819427633,-0.5909736831756129,0.7167618492003903,2
